subj_idx,change_number,rhythm,response,rt,x1,x2,x3,x4,x5,x6
11,0,1,1,0.4559252000181,1,0,0,1,0,0
11,2,0,1,2.40406779991463,0,1,0,0,0,0
11,4,1,1,1.39391350001097,0,0,1,0,0,1
11,0,0,1,2.80490480002481,1,0,0,0,0,0
11,0,1,0,1.60723960003816,1,0,0,1,0,0
11,4,1,1,2.4217723000329,0,0,1,0,0,1
11,2,0,1,4.80709020001814,0,1,0,0,0,0
11,4,0,1,0.510736700030975,0,0,1,0,0,0
11,4,1,1,2.29726459993981,0,0,1,0,0,1
11,0,1,1,1.38403179997113,1,0,0,1,0,0
11,2,0,1,7.28281840006821,0,1,0,0,0,0
11,2,1,1,2.10038680001162,0,1,0,0,1,0
11,0,1,0,2.84254730003886,1,0,0,1,0,0
11,2,0,0,0.59215869999025,0,1,0,0,0,0
11,4,1,1,0.425543099991046,0,0,1,0,0,1
11,0,1,0,3.00106379995123,1,0,0,1,0,0
11,4,1,1,1.1045050000539,0,0,1,0,0,1
11,4,1,0,1.58897579996847,0,0,1,0,0,1
11,2,0,0,0.99951389990747,0,1,0,0,0,0
11,2,1,0,1.41189670003951,0,1,0,0,1,0
11,0,1,1,4.69287699996494,1,0,0,1,0,0
11,0,0,1,2.76494660007302,1,0,0,0,0,0
11,0,0,0,2.43400759994984,1,0,0,0,0,0
11,2,1,0,0.890122700016946,0,1,0,0,1,0
11,2,0,1,2.74999639997259,0,1,0,0,0,0
11,2,0,1,0.556145300040953,0,1,0,0,0,0
11,2,1,1,2.41587489994708,0,1,0,0,1,0
11,4,0,1,2.23590410000179,0,0,1,0,0,0
11,2,0,0,2.80044919997454,0,1,0,0,0,0
11,0,0,1,0.777864000061527,1,0,0,0,0,0
11,2,0,1,2.6668851999566,0,1,0,0,0,0
11,4,1,1,3.96973700006492,0,0,1,0,0,1
11,0,0,0,1.30138800002169,1,0,0,0,0,0
11,2,1,1,0.698247699998319,0,1,0,0,1,0
11,2,0,1,2.58665159996599,0,1,0,0,0,0
11,0,0,0,2.53116910008248,1,0,0,0,0,0
11,4,0,0,1.96383089991286,0,0,1,0,0,0
11,4,0,1,5.37571940000635,0,0,1,0,0,0
11,0,1,1,0.849074099911377,1,0,0,1,0,0
11,4,1,1,0.40832569997292,0,0,1,0,0,1
11,4,1,1,0.445067299995571,0,0,1,0,0,1
11,4,1,1,0.41656449995935,0,0,1,0,0,1
11,2,0,1,1.79244540003128,0,1,0,0,0,0
11,4,1,1,0.407510500052013,0,0,1,0,0,1
11,2,0,0,0.831667499965988,0,1,0,0,0,0
11,2,1,1,4.46818620001432,0,1,0,0,1,0
11,0,0,0,1.60700640000869,1,0,0,0,0,0
11,2,0,1,3.06323420000263,0,1,0,0,0,0
11,4,1,1,3.92500809999183,0,0,1,0,0,1
11,2,1,1,2.54117570002563,0,1,0,0,1,0
11,4,0,1,0.93617749994155,0,0,1,0,0,0
11,4,1,1,3.84714790002909,0,0,1,0,0,1
11,2,1,1,5.69328629993834,0,1,0,0,1,0
11,0,1,0,4.34452229994349,1,0,0,1,0,0
