subj_idx,rhythm,response,stim,rt,change_number
1,1,1,0,0.66345100000035,0
1,1,1,1,0.989552999992156,2
1,1,1,1,0.752818300010404,4
1,0,0,0,0.721281799997087,0
1,1,0,1,0.659267199996975,2
1,0,0,1,1.46575980000489,2
1,1,0,0,0.531325100004324,0
1,1,0,1,1.85964429999876,2
1,0,1,1,1.28123430001142,4
1,1,0,1,1.62177879999217,4
1,0,1,1,0.693174600004568,4
1,1,1,1,1.37122659999295,4
1,1,1,1,1.01070980000077,4
1,1,1,1,1.00762060000852,4
1,1,1,1,1.60807519999798,4
1,0,0,1,1.45012240001233,4
1,0,1,0,0.95857810000598,0
1,1,1,1,1.00726729999587,4
1,1,1,0,2.81604700000025,0
1,1,0,0,0.481005699999514,0
1,1,0,1,3.58484550000867,2
1,1,1,1,2.41330569999991,4
1,0,1,1,1.22707069999888,2
1,1,1,1,1.24855540000135,4
1,1,1,0,0.690752200011048,0
1,0,1,1,2.19096779999381,2
1,0,1,1,2.65449450000597,2
1,1,1,1,1.20590840000659,2
1,0,0,1,0.570366900006775,4
1,1,0,1,0.896421800003736,2
1,1,1,1,3.62229100000695,2
1,0,1,0,2.22488200000953,0
1,0,1,0,1.76034799999616,0
1,1,0,1,2.04647519999708,4
1,1,1,1,1.93538599999738,4
1,1,1,1,4.34728890001134,4
1,0,1,1,1.13287840000703,4
1,1,1,1,1.12233220000053,4
1,0,1,1,3.48309360000712,2
1,0,1,1,2.39721540000755,2
1,0,0,1,1.15137540000433,2
1,0,1,1,0.505633500011754,4
1,1,0,1,2.34574279999651,4
1,0,0,1,1.4066759999987,4
1,1,1,1,1.68458010000177,4
1,0,1,0,0.494060800003354,0
1,0,1,1,2.71254920000501,2
1,0,0,0,1.63029979998828,0
1,1,1,0,2.02627469999425,0
1,1,1,1,0.989807300007669,4
1,0,1,1,0.443127500009723,2
1,0,0,0,2.62706009999965,0
1,1,1,1,3.18848230000003,4
1,1,1,1,1.634269400005,2
1,0,0,0,0.934730200009653,0
1,1,1,1,0.704030900000362,4
1,0,1,0,0.781199599994579,0
1,0,0,1,0.397961599999689,4
1,0,1,1,1.40422509999189,4
1,0,1,1,2.36989069999254,4
1,1,1,0,1.09306610000203,0
1,1,1,1,3.00907000000007,4
1,1,0,1,0.900209400002495,4
1,0,1,1,0.86444790000678,2
1,0,1,0,2.46915309999895,0
1,0,0,1,1.3325702999864,4
1,1,1,0,0.923538799994276,0
1,0,1,0,1.92932959999598,0
1,0,0,1,0.293883299993468,4
1,0,1,1,3.17772709998826,2
1,1,1,1,1.27636420000636,2
1,1,1,1,1.35022410000965,2
1,0,1,1,0.956356800001231,4
1,0,0,0,1.56271570001263,0
1,1,1,1,0.857009699990158,4
1,1,1,1,8.83671079999476,4
1,0,1,1,3.16487259999849,4
1,0,1,0,3.7706007000088,0
1,0,1,1,2.27077639999334,4
1,0,1,1,1.26947089999157,2
1,1,1,1,2.90108220001275,2
1,0,1,1,1.89120659999026,2
1,1,1,0,2.2153801000095,0
1,1,1,0,1.02749089999998,0
1,0,1,1,1.2684952999989,2
1,1,1,1,1.35329769999953,2
1,0,1,0,1.59575129998848,0
1,1,1,0,1.1924308000016,0
1,1,1,1,1.68296459999692,2
1,0,1,1,1.27698670000245,2
1,0,1,1,1.08893630000239,2
1,0,1,1,1.14232859999174,4
1,1,1,0,1.1133065999893,0
1,1,1,0,0.98604720000003,0
1,0,1,0,1.61787170000025,0
1,1,1,1,1.31341620000603,2
1,1,1,0,0.742404199991142,0
1,1,1,0,0.641533899994101,0
1,1,1,1,3.88852670000051,2
1,0,1,1,2.43583750000107,2
1,0,0,1,0.331300400008331,4
1,1,0,0,0.580420999991475,0
1,1,1,1,1.04999539999699,4
1,0,0,1,0.922471199999563,4
1,0,1,1,1.37180530000478,4
